Generated from SelSteeringTester.iob
number of ions = 1
Bender = 920V
SEL focus = -1870V
Ypos,Zpos,Sel_x,Sel_z,IonSplatPos, IonCollectorPos
31, 35, 39.960726129822, -5.5792152446229, 0.95478052122615, 1.1305504508583
31.8, 32.6, 37.016298750881, -30.404509030515, 0.85171216073493, 0.9545856049002
31.8, 33.4, 30.457093992736, -17.060676357243, 0.98565527335819, 0.9722259392677
31.8, 34.2, 26.429090098478, -9.158052904997, 1.2592601915787, 1.2612343085409
31.8, 35, 25.391924527474, -4.0978241818957, 1.3241210427283, 1.3286907339018
31.8, 35.8, 27.805234737694, 0.71882428228855, 1.3679061046101, 1.3651616423982
31.8, 36.6, 34.128658179659, 7.8907069740817, 1.2998249287909, 1.2740256833246
31.8, 37.4, 44.821832319256, 20.016638375353, 0.20555968418292, 0.31435690722094
32.6, 31.8, 26.12465129653, -39.042351808632, 0.63881466436474, 0.56803484818482
32.6, 32.6, 22.216994684655, -22.181266525993, 1.1593329575366, 1.152802198615
32.6, 33.4, 19.101138307713, -12.046244120924, 1.1418749663759, 1.1237403958136
32.6, 34.2, 17.13178158598, -6.4700399921276, 1.0437913992025, 1.0230418527882
32.6, 35, 16.663623948116, -3.2854095562361, 1.0187593436961, 0.99772919771617
32.6, 35.8, 18.051364803221, -0.32510822080076, 1.0655024406903, 1.0441954368806
32.6, 36.6, 21.649703600444, 4.5781085863709, 1.2213658570082, 1.1981681674869
32.6, 37.4, 27.81333974516, 13.591485459823, 1.421905394727, 1.3936148936329
33.4, 31.8, 15.463709359057, -30.057165348204, 0.88536826190083, 0.88876792095717
33.4, 32.6, 14.246195728891, -16.44874772965, 0.85697074562884, 0.83578587698258
33.4, 33.4, 13.123808751348, -8.6528064552695, 0.81711812470433, 0.78474520429794
33.4, 34.2, 12.37472353084, -4.7884987993166, 0.78770870482285, 0.74974589975149
33.4, 35, 12.277115182485, -2.974982060492, 0.78319490401776, 0.74673638425507
33.4, 35.8, 13.10915880464, -1.3314135493711, 0.84488117889529, 0.80959605705123
33.4, 36.6, 15.149029514287, 2.0230494597927, 0.95195166324968, 0.91896098249088
33.4, 37.4, 18.674902420957, 8.969249676913, 1.1210286554321, 1.0848543109726
33.4, 38.2, 23.96495262906, 21.388029782102, 1.4123631415818, 1.3826516221614
34.2, 31.8, 10.426047771238, -24.647464517504, 0.71059573465519, 0.69045167927435
34.2, 32.6, 10.615881227423, -13.060896262061, 0.71885315013032, 0.68418995205503
34.2, 33.4, 10.588662156835, -6.7405055603012, 0.73813769359141, 0.69357099432238
34.2, 34.2, 10.557046205271, -3.9616163154133, 0.77096341029497, 0.72113018326912
34.2, 35, 10.733689018525, -2.9995524082333, 0.80914190074484, 0.76392839253034
34.2, 35.8, 11.331246228889, -2.1296377377585, 0.8806701970603, 0.83708916611134
34.2, 36.6, 12.562373497058, 0.37280380306765, 0.97951081435388, 0.93712744453356
34.2, 37.4, 14.639726452064, 6.2324483138509, 1.1453329619929, 1.0976752727891
34.2, 38.2, 17.775960745756, 17.173971898388, 1.4039469742798, 1.3514584704887
35, 31, 6.2248512501828, -40.122051852057, 0.79979429918162, 0.6806507149187
35, 31.8, 7.7734732092358, -22.627907780465, 0.70096386851991, 0.65501872913482
35, 32.6, 8.8380305282772, -11.871655727271, 0.80819553631597, 0.76377496274887
35, 33.4, 9.5592553727329, -6.169483654201, 0.90511662264251, 0.85781873209339
35, 34.2, 10.077879889403, -3.8375795073807, 0.99091988749485, 0.9419795720904
35, 35, 10.534636250697, -3.1921312492341, 1.0597490608308, 1.0114166980513
35, 35.8, 11.070256611798, -2.5493268365972, 1.1342613823184, 1.0880868648481
35, 36.6, 11.825473128352, -0.22535420348868, 1.2254069313981, 1.1778705671913
35, 37.4, 12.941017972771, 5.4635986699723, 1.3549650795984, 1.3011969782238
35, 38.2, 14.557623291388, 16.201343856752, 1.5184257673908, 1.4506530192298
35, 39, 16.816021252424, 33.671693357639, 1.333161232321, 1.2847702349017
35.8, 31.8, 4.2677923399024, -23.813153627794, 0.88257216465639, 0.81692370641114
35.8, 32.6, 6.4246229878627, -12.734969775192, 1.0476599609914, 0.99813933259098
35.8, 33.4, 8.0991452345625, -6.7998829521239, 1.1840352762977, 1.1374793616822
35.8, 34.2, 9.3363548680209, -4.2645754031837, 1.2932930594162, 1.2443589372722
35.8, 35, 10.181247680448, -3.3857293012552, 1.37665684649, 1.3275402137504
35.8, 35.8, 10.67881946126, -2.4200268951245, 1.4568546145052, 1.4075607673466
35.8, 36.6, 10.874065995216, 0.37584961438552, 1.5353018364945, 1.4845872261157
35.8, 37.4, 10.811983095482, 6.745218006894, 1.6210161885268, 1.5611582437028
35.8, 38.2, 10.537566521205, 18.431396058295, 1.6638354007845, 1.5925416810097
36.6, 31.8, -3.3291881689802, -28.017860517837, 0.94140459826548, 0.86485965022847
36.6, 32.6, 0.88763795141131, -15.504782013595, 1.1710367611911, 1.1197849497392
36.6, 33.4, 4.2718885913491, -8.4918456748128, 1.3447198729773, 1.3016708840818
36.6, 34.2, 6.7316014161333, -5.0907909432426, 1.4735177788744, 1.4257391522194
36.6, 35, 8.1748140961863, -3.4133572308347, 1.5669206702003, 1.5180591486516
36.6, 35.8, 8.5095642996021, -1.5712839504704, 1.6344839390372, 1.5834357012446
36.6, 36.6, 7.6438896879554, 2.3236894761212, 1.6743380907707, 1.6247049182916
36.6, 37.4, 5.4858279349282, 10.15982361557, 1.6753182040649, 1.614800984506
36.6, 38.2, 1.9434167100117, 23.82537907362, 1.6028765796539, 1.5334864170629
