Ypos,Zpos,Scan_min,Ext_y_min,Ext_z_min
32.5,37.75,0.26389409499413,150.0,110.0
32.5,38.0,0.24483672590163,150.0,110.0
32.75,31.75,0.20315317237979,140.0,-90.0
32.75,32.0,0.1607135958515,150.0,-100.0
32.75,32.25,0.25669498787383,150.0,-100.0
32.75,32.5,0.078587204604519,150.0,-90.0
32.75,32.75,0.27767514521682,150.0,-80.0
32.75,33.0,0.34448423946581,140.0,-70.0
32.75,33.25,0.28146803472497,140.0,-60.0
32.75,33.5,0.28795678107758,140.0,-50.0
32.75,33.75,0.3493914937724,140.0,-40.0
32.75,34.0,0.25984303293105,130.0,-30.0
32.75,34.25,0.15227284436682,130.0,-20.0
32.75,34.5,0.057021720803905,130.0,-10.0
32.75,34.75,0.080665805116614,130.0,0.0
32.75,35.0,0.17900377407308,130.0,10.0
32.75,35.25,0.25739878888436,130.0,20.0
32.75,35.5,0.33433367871667,130.0,30.0
32.75,35.75,0.33220449474981,130.0,50.0
32.75,36.0,0.2909249269428,130.0,60.0
32.75,36.25,0.24929093492207,130.0,70.0
32.75,36.5,0.18326908717796,130.0,80.0
32.75,36.75,0.11837248157482,130.0,90.0
32.75,37.0,0.090917557998087,130.0,100.0
32.75,37.25,0.22270659106681,130.0,110.0
32.75,37.5,0.37245130460781,140.0,110.0
32.75,37.75,0.18216886698931,140.0,120.0
32.75,38.0,0.22817269431362,140.0,120.0
32.75,38.25,0.20942531848459,130.0,100.0
33.0,31.75,0.075409616687164,140.0,-100.0
33.0,32.0,0.25635812754446,140.0,-100.0
33.0,32.25,0.12109111753954,140.0,-100.0
33.0,32.5,0.36354510212241,130.0,-90.0
33.0,32.75,0.22559013515161,130.0,-90.0
33.0,33.0,0.21975971725649,130.0,-80.0
33.0,33.25,0.3006431652842,120.0,-70.0
33.0,33.5,0.22190985321016,120.0,-60.0
33.0,33.75,0.22010118477131,120.0,-50.0
33.0,34.0,0.31061708536299,120.0,-40.0
33.0,34.25,0.32442626374721,120.0,-20.0
33.0,34.5,0.25887092502389,110.0,-10.0
33.0,34.75,0.15404655653932,110.0,0.0
33.0,35.0,0.072101954573977,110.0,10.0
33.0,35.25,0.10639777871035,110.0,20.0
33.0,35.5,0.18495736639957,110.0,30.0
33.0,35.75,0.26889516601601,110.0,40.0
33.0,36.0,0.2308194772093,110.0,60.0
33.0,36.25,0.16482345195718,110.0,70.0
33.0,36.5,0.12846929619737,110.0,80.0
33.0,36.75,0.12629852933264,110.0,90.0
33.0,37.0,0.19401720277568,110.0,100.0
33.0,37.25,0.32664036473827,110.0,110.0
33.0,37.5,0.31124968468729,120.0,110.0
33.0,37.75,0.052735803906813,120.0,120.0
33.0,38.0,0.2709614508146,120.0,120.0
33.0,38.25,0.36217572403734,120.0,120.0
33.25,31.5,0.32313151068907,120.0,-100.0
33.25,31.75,0.20519924664448,130.0,-110.0
33.25,32.0,0.26202136841532,130.0,-110.0
33.25,32.25,0.22777066698448,120.0,-100.0
33.25,32.5,0.23586842079932,120.0,-100.0
33.25,32.75,0.23937926843425,110.0,-90.0
33.25,33.0,0.082986028451056,110.0,-80.0
33.25,33.25,0.082764723714005,110.0,-70.0
33.25,33.5,0.20989608361121,110.0,-60.0
33.25,33.75,0.21328323857026,100.0,-50.0
33.25,34.0,0.18398029042142,100.0,-40.0
33.25,34.25,0.24578016927227,100.0,-30.0
