Generated from IonStartLocationSteering.iob
Collector,Deflector,Efficiency,mean distance off axis
-500, 0, 0.07, 0.53025817907393
-500, 10.10101010101, 0.13, 0.41265083455945
-500, 20.20202020202, 0.07, 0.68105740359434
-500, 30.30303030303, 0.12, 0.48397824272539
-500, 40.40404040404, 0.09, 0.59924709748015
-500, 50.505050505051, 0.07, 0.48736139782183
-500, 60.606060606061, 0.08, 0.51573962360705
-500, 70.707070707071, 0.09, 0.54967494867325
-500, 80.808080808081, 0.11, 0.5193678306838
-500, 90.909090909091, 0.06, 0.43679170957424
-500, 101.0101010101, 0.04, 0.71443328813429
-500, 111.11111111111, 0.09, 0.39658920210643
-500, 121.21212121212, 0.05, 0.65247866023067
-500, 131.31313131313, 0.1, 0.51516057246511
-500, 141.41414141414, 0.1, 0.56211681151961
-500, 151.51515151515, 0.08, 0.46941127989253
-500, 161.61616161616, 0.08, 0.61184752482863
-500, 171.71717171717, 0.06, 0.44308325709255
-500, 181.81818181818, 0.12, 0.54253716716869
-500, 191.91919191919, 0.05, 0.54145520880719
-500, 202.0202020202, 0.11, 0.5168263857745
-500, 212.12121212121, 0.07, 0.52945606298997
-500, 222.22222222222, 0.13, 0.55229652446234
-500, 232.32323232323, 0.1, 0.59714638961162
-500, 242.42424242424, 0.09, 0.59737196367343
-500, 252.52525252525, 0.09, 0.57889973361804
-500, 262.62626262626, 0.05, 0.41048848254257
-500, 272.72727272727, 0.05, 0.51332794408474
-500, 282.82828282828, 0.08, 0.49559560705826
-500, 292.92929292929, 0.08, 0.565208308015
-500, 303.0303030303, 0.11, 0.55549906906644
-500, 313.13131313131, 0.1, 0.52580630110405
-500, 323.23232323232, 0.08, 0.49546213507495
-500, 333.33333333333, 0.05, 0.56065999342576
-500, 343.43434343434, 0.12, 0.58163016545134
-500, 353.53535353535, 0.06, 0.44008957582724
-500, 363.63636363636, 0.08, 0.56804777096154
-500, 373.73737373737, 0.12, 0.53072183243046
-500, 383.83838383838, 0.06, 0.66880070843297
-500, 393.93939393939, 0.09, 0.66387661400377
-500, 404.0404040404, 0.1, 0.40510800340083
-500, 414.14141414141, 0.07, 0.5857264945093
-500, 424.24242424242, 0.08, 0.5658316291361
-500, 434.34343434343, 0.04, 0.40730490543663
-500, 444.44444444444, 0.07, 0.50229257505144
-500, 454.54545454545, 0.07, 0.61329201178378
-500, 464.64646464646, 0.07, 0.43239730931182
-500, 474.74747474747, 0.13, 0.56842240813337
-500, 484.84848484848, 0.05, 0.62789869511015
-500, 494.94949494949, 0.06, 0.71199324463796
-500, 505.05050505051, 0.09, 0.5168198138792
-500, 515.15151515152, 0.15, 0.50305443959239
-500, 525.25252525253, 0.08, 0.5343697407678
-500, 535.35353535354, 0.04, 0.5623790138612
-500, 545.45454545455, 0.06, 0.50969737598322
-500, 555.55555555556, 0.06, 0.68976391787225
-500, 565.65656565657, 0.11, 0.51538580681415
-500, 575.75757575758, 0.1, 0.51150286943655
-500, 585.85858585859, 0.04, 0.69502815700442
-500, 595.9595959596, 0.06, 0.49566916633041
-500, 606.06060606061, 0.14, 0.5845891379
-500, 616.16161616162, 0.08, 0.57966551800545
-500, 626.26262626263, 0.08, 0.59111316699871
-500, 636.36363636364, 0.06, 0.45752475755596
-500, 646.46464646465, 0.09, 0.49320281295039
-500, 656.56565656566, 0.09, 0.45727655140672
-500, 666.66666666667, 0.11, 0.55691987736722
-500, 676.76767676768, 0.08, 0.58408235825743
-500, 686.86868686869, 0.06, 0.57122695405598
-500, 696.9696969697, 0.09, 0.74513192793458
-500, 707.07070707071, 0.08, 0.65223837493723
-500, 717.17171717172, 0.09, 0.43354462772093
-500, 727.27272727273, 0.05, 0.55049385488624
-500, 737.37373737374, 0.07, 0.71583072570845
-500, 747.47474747475, 0.04, 0.5958092089662
-500, 757.57575757576, 0.07, 0.49574634380128
-500, 767.67676767677, 0.09, 0.63741107092977
-500, 777.77777777778, 0.06, 0.60487375068007
-500, 787.87878787879, 0.1, 0.64591206625165
-500, 797.9797979798, 0.09, 0.70302659535922
-500, 808.08080808081, 0.03, 0.32964292527092
-500, 818.18181818182, 0.08, 0.62812254517925
-500, 828.28282828283, 0.08, 0.73999770164719
-500, 838.38383838384, 0.07, 0.52340676837146
-500, 848.48484848485, 0.07, 0.59070581966744
-500, 858.58585858586, 0.06, 0.42472206697865
-500, 868.68686868687, 0.04, 0.59919406209307
-500, 878.78787878788, 0.07, 0.66960985702432
-500, 888.88888888889, 0.03, 0.53956398786238
-500, 898.9898989899, 0.12, 0.57623817119617
-500, 909.09090909091, 0.11, 0.6278517959008
-500, 919.19191919192, 0.11, 0.55173397003113
-500, 929.29292929293, 0.1, 0.56827928813144
-500, 939.39393939394, 0.04, 0.59726659485865
-500, 949.49494949495, 0.07, 0.31893239160917
-500, 959.59595959596, 0.05, 0.77528946221481
-500, 969.69696969697, 0.05, 0.4817142882289
-500, 979.79797979798, 0.04, 0.38952819447729
-500, 989.89898989899, 0.06, 0.69231025956256
-500, 1000, 0.08, 0.49595744120582
-489.89898989899, 0, 0.09, 0.34248788887142
-489.89898989899, 10.10101010101, 0.08, 0.46550118507541
-489.89898989899, 20.20202020202, 0.07, 0.43649997395094
-489.89898989899, 30.30303030303, 0.14, 0.47353940116465
-489.89898989899, 40.40404040404, 0.08, 0.50756024453954
-489.89898989899, 50.505050505051, 0.09, 0.61016592983518
-489.89898989899, 60.606060606061, 0.04, 0.70370079551698
-489.89898989899, 70.707070707071, 0.06, 0.51280234325559
-489.89898989899, 80.808080808081, 0.15, 0.54969455754668
-489.89898989899, 90.909090909091, 0.08, 0.61522577809044
-489.89898989899, 101.0101010101, 0.07, 0.55192721302103
